"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","0.01uF","~","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","2",""
"C3,C4","10uF/25V","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"C5,C6","1uF/25V","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"C7","2.2uF/25V","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"IC1","2MS1T1B4VS2QES","https://akizukidenshi.com/download/ds/cosland/2MS1-T1-B4-VS2-Q-E-S.pdf","2MS1T1B4VS2QES","1",""
"J1","Conn_01x04","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","1",""
"J2,J4","Conn_01x03","~","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","2",""
"J3,J8,J9","Conn_01x01","~","-- ミックスされた値 --","3",""
"J5,J7","Conn_01x02","~","-- ミックスされた値 --","2",""
"J6","MJ-462","https://akizukidenshi.com/download/ds/avvicon/MJ-462.pdf","SamacSys_Parts:MJ462","1",""
"R1,R4,R5","2.2K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","3",""
"R2","220K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R3,R15,R20","100K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","3",""
"R6","47K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R7,R12","33K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2",""
"R8,R13","5K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2",""
"R9,R10","510","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2",""
"R11","1K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R14,R16,R17,R18","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","4",""
"R19","100","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R21","30K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R22","24K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"U1","LM13700","http://www.ti.com/lit/ds/symlink/lm13700.pdf","Package_DIP:DIP-16_W7.62mm_Socket","1",""
"U2","4051","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4051bms-52bms-53bms.pdf","Package_DIP:DIP-16_W7.62mm_Socket","1",""
"U3,U4","Opamp_Dual","~","Package_DIP:DIP-8_W7.62mm_Socket","2",""
"VR1,VR2,VR3","3362P-1-104LF 100K","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000139931.pdf","SamacSys_Parts:3362P_1","3",""
