"サンプル","時間","デコーダー","Ann Row","Ann Class","値",
"12169","12.169 ms","I2C","Address/data","Start condition","Start",
"12171","12.171 ms","I2C","Address/data","Address write","Address write: 70",
"12171","12.171 ms","I2C","Bits","Data/address bit","1",
"12174","12.174 ms","I2C","Bits","Data/address bit","1",
"12177","12.177 ms","I2C","Bits","Data/address bit","1",
"12179","12.179 ms","I2C","Bits","Data/address bit","0",
"12182","12.182 ms","I2C","Bits","Data/address bit","0",
"12185","12.185 ms","I2C","Bits","Data/address bit","0",
"12187","12.187 ms","I2C","Bits","Data/address bit","0",
"12190","12.190 ms","I2C","Bits","Data/address bit","0",
"12190","12.190 ms","I2C","Address/data","Address write","Write",
"12193","12.193 ms","I2C","Address/data","ACK","ACK",
"12196","12.196 ms","I2C","Address/data","Data write","Data write: 40",
"12196","12.196 ms","I2C","Bits","Data/address bit","0",
"12198","12.198 ms","I2C","Bits","Data/address bit","1",
"12201","12.201 ms","I2C","Bits","Data/address bit","0",
"12204","12.204 ms","I2C","Bits","Data/address bit","0",
"12206","12.206 ms","I2C","Bits","Data/address bit","0",
"12209","12.209 ms","I2C","Bits","Data/address bit","0",
"12212","12.212 ms","I2C","Bits","Data/address bit","0",
"12214","12.214 ms","I2C","Bits","Data/address bit","0",
"12217","12.217 ms","I2C","Address/data","ACK","ACK",
"12221","12.221 ms","I2C","Address/data","Stop condition","Stop",
"12233","12.233 ms","I2C","Address/data","Start condition","Start",
"12236","12.236 ms","I2C","Bits","Data/address bit","1",
"12236","12.236 ms","I2C","Address/data","Address read","Address read: 70",
"12238","12.238 ms","I2C","Bits","Data/address bit","1",
"12241","12.241 ms","I2C","Bits","Data/address bit","1",
"12244","12.244 ms","I2C","Bits","Data/address bit","0",
"12246","12.246 ms","I2C","Bits","Data/address bit","0",
"12249","12.249 ms","I2C","Bits","Data/address bit","0",
"12252","12.252 ms","I2C","Bits","Data/address bit","0",
"12255","12.255 ms","I2C","Bits","Data/address bit","1",
"12255","12.255 ms","I2C","Address/data","Address read","Read",
"12257","12.257 ms","I2C","Address/data","ACK","ACK",
"12260","12.260 ms","I2C","Address/data","Data read","Data read: 00",
"12260","12.260 ms","I2C","Bits","Data/address bit","0",
"12263","12.263 ms","I2C","Bits","Data/address bit","0",
"12265","12.265 ms","I2C","Bits","Data/address bit","0",
"12268","12.268 ms","I2C","Bits","Data/address bit","0",
"12271","12.271 ms","I2C","Bits","Data/address bit","0",
"12273","12.273 ms","I2C","Bits","Data/address bit","0",
"12276","12.276 ms","I2C","Bits","Data/address bit","0",
"12279","12.279 ms","I2C","Bits","Data/address bit","0",
