"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C10,C20,C21,C33","0.01uF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","4",""
"C11,C13,C14,C15,C17,C22,C23,C29,C42,C62","1uF/50V","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","10",""
"C16,C30,C37,C72,VCA_C_1","10uF/16V","~","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","5",""
"C18","0.018uF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C19,C24,C26,C36","0.033uF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","4",""
"C25,C27,C41","0.1uF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","3",""
"C28,C55","47uF/16V","~","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","2",""
"C34","0.001uF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C35","0.22uF","~","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C54","0.047uF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"D24,D25,D26,D27,D28,D29,D31,D32,D35,D36,D37","D","~","Diode_THT:D_A-405_P2.54mm_Vertical_AnodeUp","11",""
"IC11,IC11_1","AN6562","~","Package_DIP:DIP-8_W7.62mm","2",""
"IC12","4066","http://www.ti.com/lit/ds/symlink/cd4066b.pdf","Package_DIP:DIP-14_W7.62mm","1",""
"IC15","CA3080A","http://www.intersil.com/content/dam/Intersil/documents/ca30/ca3080-a.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"J1,J5,J7","Conn_01x03_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","3",""
"J2","Conn_01x05_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1",""
"J3,J4,J8","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","3",""
"J9,J13","Conn_01x01_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","2",""
"Q8,Q9,Q10,Q27,Q31,Q36,Q38","PNP","~","Package_TO_SOT_THT:TO-92_Inline","7",""
"Q11,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q23,Q24,Q25,Q29,Q30,Q32,Q35,Q37,Q40,Q41","NPN","~","Package_TO_SOT_THT:TO-92_Inline","19",""
