"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","1000uF/25V","~","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1",""
"C2,C3,C5","0.1uF","~","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","3",""
"C4","100uF/25V","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"C6","1uF/25V","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"C7,C8","10uF","~","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","2",""
"C9","470uF/25V","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"D1","SBM245L","https://www.panjit.com.tw/en/Product/downloadPDF/SBM245L","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","1",""
"D2,D5","1N4001","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"F1","MF-R050","https://www.bourns.com/pdfs/mfr.pdf","SamacSys_Parts:MFR050","1",""
"J1,J4,J5,J6","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","4",""
"J2","DF1BZ-3P-2.5DS","https://componentsearchengine.com/Datasheets/1/DF1BZ-3P-2.5DS.pdf","SHDR3W64P0X250_1X3_1000X570X950P","1",""
"J3","Barrel_Jack_Switch","~","Connector_BarrelJack:BarrelJack_Horizontal","1",""
"J8","DF1BZ-2P-2.5DSA","https://componentsearchengine.com/Datasheets/1/DF1BZ-2P-2.5DSA.pdf","SHDR2W64P0X250_1X2_750X570X950P","1",""
"L1","4.7uh/0.5A","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"PS1","BP5293-50","https://componentsearchengine.com/Datasheets/1/BP5293-50.pdf","TO254P570X1700X1780-3P","1",""
"R1","120","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R9","330","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"U3","L7812","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U4","LM317_TO-220","http://www.ti.com/lit/ds/symlink/lm317.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"VR1","3296W-1-502A","https://www.bourns.com/docs/product-datasheets/3296.pdf","SamacSys_Parts:3296W1502A","1",""
