"Reference","Value","Datasheet","Footprint","Qty","DNP"
"AnPw1","AnPw","~","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","1",""
"C10,C20,C21,C33","0.01uF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","4",""
"C11,C13,C14,C15,C17,C22,C23,C29,C42,C62","1uF/50V","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","10",""
"C16,C30,C37,C72,VCA_C_1,VCA_C_2","10uF/16V","~","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","6",""
"C18","0.018uF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C19,C24,C26,C36","0.033uF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","4",""
"C25,C27,C41,DgC1,DgC3,DgC4,PwC4,PwC7,PwC9","0.1uF","~","-- ミックスされた値 --","9",""
"C28,C55","47uF/16V","~","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","2",""
"C34","0.001uF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C35","0.22uF","~","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C54,DgC2","0.047uF","~","-- ミックスされた値 --","2",""
"D24,D25,D26,D27,D28,D29,D31,D32,D35,D36,D37","D","~","Diode_THT:D_A-405_P2.54mm_Vertical_AnodeUp","11",""
"DgD1","1N4148W","https://www.vishay.com/docs/85748/1n4148w.pdf","Diode_SMD:D_SOD-123","1",""
"DgIC1","FM24CL16B-GTR","http://www.cypress.com/file/136491/download","SamacSys_Parts:SOIC127P602X173-8N","1",""
"DgIC2","74HC126D","https://assets.nexperia.com/documents/data-sheet/74HC_HCT126.pdf","SamacSys_Parts:SOIC127P600X175-14N","1",""
"DgIC3","74LVC541APW","https://assets.nexperia.com/documents/data-sheet/74LVC541A.pdf","SOP65P640X110-20N","1",""
"DgIC4","TLP2304_TPR,E","http://toshiba.semicon-storage.com/info/docget.jsp?did=63378&prodName=TLP2304","SamacSys_Parts:SOIC127P700X230-6N","1",""
"DgIC5","LM358","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"DgJ2,DgJ3,DgJ4","Conn_01x04","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","3",""
"DgJ5","Conn_01x06","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"DgJ8","KDJ03-5","https://akizukidenshi.com/download/ds/useconn/KDJ03-5.pdf","SamacSys_Parts:KDJ035","1",""
"DgJ9,DgJ11,DgJ12,DgJ13","MJ-8435","http://akizukidenshi.com/download/ds/marushin/mj8435.pdf","MJ-8435","4",""
"DgJ16","Conn_01x05","~","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1",""
"DgPw1","DgPw","~","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","1",""
"DgR1,DgR2","1K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"DgR3,DgR4","220","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"DgR5,R45,R110,R111,R117,R120,R134,R146,R151","22K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","9",""
"DgR6,R34,R36,R47,R61,R64,R65,R94,R96,R97,R101,R105,R109,R112,R115,R116,R142,R143,R144,R145,R148,R149,VCA_R1","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","23",""
"DgR7","5.1K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"DgS1,DgS2","B3F-1000S","https://www.mouser.com/datasheet/2/307/en-b3f-13826.pdf","SamacSys_Parts:B3F1060","2",""
"DgU1","Raspberry Pi Pico DIP-40","","SamacSys_Parts:Raspberry Pi Pico DIP-40_W17.76mm","1",""
"DgU2","IRLML6402(DIP6Convert)","","Package_DIP:DIP-6_W7.62mm","1",""
"IC11,IC11_1","AN6562","~","Package_DIP:DIP-8_W7.62mm","2",""
"IC12","4066","http://www.ti.com/lit/ds/symlink/cd4066b.pdf","Package_DIP:DIP-14_W7.62mm","1",""
"IC15","CA3080A","http://www.intersil.com/content/dam/Intersil/documents/ca30/ca3080-a.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"J3,J4,J8,PwJ2,PwJ3,PwJ4,PwJ5","Conn_01x02_Pin","~","-- ミックスされた値 --","7",""
"J7","Conn_01x03_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","1",""
"J9,J13","Conn_01x01_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Horizontal","2",""
"PanelJ1","Conn_02x20_Odd_Even","~","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","1",""
"PwC1,PwC3","10uF","~","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","2",""
"PwC2","1000uF/25V","~","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1",""
"PwC5","470uF/25V","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"PwC6","100uF/25V","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"PwC8","1uF/25V","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"PwD1","SBM245L","https://www.panjit.com.tw/en/Product/downloadPDF/SBM245L","Diode_THT:D_DO-41_SOD81_P5.08mm_Vertical_AnodeUp","1",""
"PwD2,PwD3","1N4001","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P3.81mm_Vertical_KathodeUp","2",""
"PwF1,PwF2","MF-R050","https://www.bourns.com/pdfs/mfr.pdf","SamacSys_Parts:MFR050","2",""
"PwIC1","BP5293-50","https://componentsearchengine.com/Datasheets/1/BP5293-50.pdf","TO254P570X1700X1780-3P","1",""
"PwIC2","L7812","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1",""
"PwIC3","LM317LZG","https://www.onsemi.com/pdf/datasheet/lm317l-d.pdf","SamacSys_Parts:LM317LZG","1",""
"PwJ1","Barrel_Jack_Switch","~","Connector_BarrelJack:BarrelJack_Horizontal","1",""
"PwL1","4.7uh/0.5A","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"PwR1","330","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"PwR2","120","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"PwS1","4MS1R202M6QES","","SamacSys_Parts:4MS1R202M6QES","1",""
"PwVR1","3296W-1-101LF","https://www.bourns.com/docs/product-datasheets/3296.pdf","SamacSys_Parts:3296W1502A","1",""
"Q8,Q9,Q10,Q27,Q31,Q36,Q38","PNP","~","Package_TO_SOT_THT:TO-92_HandSolder","7",""
"Q11,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q23,Q24,Q25,Q29,Q30,Q32,Q35,Q37,Q40,Q41","NPN","~","Package_TO_SOT_THT:TO-92_HandSolder","19",""
"Q12,Q21,Q22,Q26","HN1C01FU-GR,LF_6P DIP","https://toshiba.semicon-storage.com/info/HN4A06J_datasheet_en_20140301.pdf?did=22321","Package_DIP:DIP-6_W7.62mm","4",""
"Q28,Q39","NJFET","~","Package_TO_SOT_THT:TO-92_HandSolder","2",""
"R35,R59,R66,R72,R73,R92,R93,R99,R102,R113,R114,R118,R122,R139,R140,R141,VCA_R4,VCA_R6,VCA_R7","100K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","19",""
"R46,R119,VCA_R3,VCA_R5","47K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","4",""
"R62,R63,R103,R121,R131","220K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","5",""
"R67,R68,R69,R70,R71,R98,R104,R107,R108,R124,R125,R126,R133","2.2K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","13",""
"R91","1M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R95,R130,R132,R152,VCA_R2","100","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","5",""
"R100,R100_1","1K(TEMPCO)","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2",""
"R106","27K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R123","1.5M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R138","68K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R147,R150","22","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2",""
"TM3","500K","https://www.bourns.com/docs/Product-Datasheets/3006.pdf","3006P1503LF","1",""
"TM4","50K","https://www.bourns.com/docs/Product-Datasheets/3006.pdf","SamacSys_Parts:3006P1503LF","1",""
"TM5","5K","https://www.bourns.com/docs/Product-Datasheets/3006.pdf","3006P1503LF","1",""
"VCA_IC_1","Opamp_Dual","~","-- ミックスされた値 --","1",""
