Designator,Footprint,Quantity,Value,LCSC Part #
ANPW1,PinSocket_1x03_P2.54mm_Vertical,1,AnPw,
"C1, C2",C_Rect_L7.0mm_W2.0mm_P5.00mm,2,0.01uF,
"C10, C33, C5",C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,3,0.01uF,
"C11, C13, C14, C15, C17, C22, C23, C29",CP_Radial_D4.0mm_P2.00mm,8,1uF/50V,
"C12, C25, C27",C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,3,0.1uF,
"C16, C30, C72",CP_Radial_D4.0mm_P2.00mm,3,10uF/16V,
C18,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,0.018uF,
"C19, C21, C24, C26",C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,4,0.033uF,
"C20, C62",CP_Radial_D5.0mm_P2.00mm,2,1uF/50V,
"C28, C55",CP_Radial_D4.0mm_P2.00mm,2,47uF/16V,
"C3, C4",CP_Radial_D5.0mm_P2.50mm,2,10uF/25V,
C34,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,0.001uF,
C35,C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,0.22uF,
C54,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,0.047uF,
"C6, C8, C9",CP_Radial_D5.0mm_P2.50mm,3,1uF/25V,
C7,CP_Radial_D5.0mm_P2.50mm,1,2.2uF/25V,
"D1, D2, D24, D25, D26, D28, D29, D3, D31, D32, D37",D_A-405_P2.54mm_Vertical_AnodeUp,11,D,
"DGC1, DGC3, DGC4, DGC5, DGC6",0805,5,0.1uF,
DGC2,C_Rect_L7.0mm_W2.5mm_P5.00mm,1,0.047uF,
DGD1,D_SOD-123,1,1N4148W,
DGIC1,SOIC127P602X173-8N,1,FM24CL16B-GTR,
"DGIC2, DGIC3",SOP65P640X120-20N,2,74VHC541FT,
DGIC4,SOIC127P700X230-6N,1,"TLP2304_TPR,E",
DGIC5,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358,
DGJ1,KDJ035,1,KDJ03-5 MIDIOUT,
DGJ11,MJ-8435,1,MJ-8435 CV OUT,
DGJ12,MJ-8435,1,MJ-8435 GATE OUT,
DGJ13,MJ-8435,1,MJ-8435 SYNC OUT,
DGJ16,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
DGJ2,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
DGJ3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
DGJ5,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
DGJ8,KDJ035,1,KDJ03-5 MIDIIN,
DGJ9,MJ-8435,1,MJ-8435 SYNC IN,
