Designator,Mid X,Mid Y,Rotation,Layer
C1,187.784,-63.373,180.0,top
D1,177.624,-67.183,0.0,top
D10,106.418,-136.186,0.0,top
D11,117.084,-136.186,0.0,top
D12,127.616,-136.186,0.0,top
D13,138.307,-136.186,0.0,top
D14,149.206,-136.186,0.0,top
D15,159.922,-136.186,0.0,top
D16,170.184,-136.186,0.0,top
D17,206.739,-118.406,0.0,top
D18,196.448,-118.442,0.0,top
D19,182.463,-118.533,0.0,top
D2,177.624,-69.596,0.0,top
D20,186.428,-118.533,0.0,top
D21,186.047,-135.932,0.0,top
D22,196.969,-135.932,0.0,top
D23,207.27,-135.805,0.0,top
D24,49.005,-118.533,0.0,top
D25,112.65,-118.533,0.0,top
D26,122.928,-118.533,0.0,top
D27,133.596,-118.533,0.0,top
D28,64.127,-118.533,0.0,top
D29,74.668,-118.533,0.0,top
D3,177.624,-72.136,0.0,top
D30,85.463,-118.533,0.0,top
D31,96.131,-118.533,0.0,top
D32,145.393,-118.533,0.0,top
D33,153.789,-118.533,0.0,top
D34,162.693,-118.533,0.0,top
D35,171.555,-118.533,0.0,top
D4,42.168,-136.186,0.0,top
D5,53.203,-136.186,0.0,top
D6,63.947,-136.186,0.0,top
D7,74.181,-136.186,0.0,top
D8,85.348,-136.186,0.0,top
D9,95.164,-136.186,0.0,top
J1,80.899,-85.979,90.0,top
R1,196.42,-71.628,0.0,top
R10,178.386,-81.534,180.0,top
R11,178.386,-79.629,180.0,top
R12,178.386,-77.724,180.0,top
R13,178.386,-75.946,180.0,top
R2,196.42,-73.406,0.0,top
R3,196.42,-75.057,0.0,top
R4,196.42,-76.962,0.0,top
R5,196.42,-78.867,0.0,top
R6,196.42,-80.772,0.0,top
R7,196.42,-82.55,0.0,top
R8,196.42,-84.328,0.0,top
R9,178.386,-83.439,180.0,top
S1,42.116,-142.409,0.0,top
S10,138.345,-142.409,0.0,top
S11,149.013,-142.409,0.0,top
S12,159.706,-142.409,0.0,top
S13,170.372,-142.409,0.0,top
S14,207.054,-124.72,0.0,top
S15,196.421,-124.756,0.0,top
S16,185.753,-124.792,0.0,top
S17,185.753,-142.409,0.0,top
S18,196.434,-142.373,0.0,top
S19,221.913,-142.246,0.0,top
S2,52.911,-142.409,0.0,top
S20,221.278,-124.792,0.0,top
S21,207.091,-142.282,0.0,top
S22,48.812,-124.847,0.0,top
S24,112.231,-124.847,0.0,top
S25,122.876,-124.847,0.0,top
S26,133.544,-124.847,0.0,top
S27,64.052,-124.847,0.0,top
S28,74.87,-124.847,0.0,top
S29,85.538,-124.847,0.0,top
S3,63.731,-142.409,0.0,top
S30,96.206,-124.792,0.0,top
S4,74.397,-142.409,0.0,top
S5,85.042,-142.409,0.0,top
S6,95.71,-142.409,0.0,top
S7,106.366,-142.409,0.0,top
S8,117.009,-142.409,0.0,top
S9,127.677,-142.409,0.0,top
U7,187.657,-74.422,0.0,top
