Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",0805,2,1uF 2012,
D1,D_SMA,1,SMAJ22A,
IC1,SOIC127P600X175-8N,1,FDS4935A,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,5077CR-16-SMC2-BK-TR,
J2,PinSocket_1x03_P2.54mm_Vertical,1,FET BusSwitch,
J3,PinSocket_1x04_P2.54mm_Vertical,1,Output,
"J4, J5",PinSocket_1x02_P2.54mm_Vertical,2,GND,
LED1,0805,1,LED,
"R1, R9",0805,2,RK73H2ATTD1002F,
R2,0805,1,RK73H2ATTD1001F,
R3,0805,1,RK73H2ATTD1003F,
R4,0805,1,RK73H2ATTD3001F,
R8,2512,1,RK73BW3ATTE102J,
U1,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm_ThermalVias,1,CH224K,
