Designator,Mid X,Mid Y,Rotation,Layer
C1,111.633,-62.738,0.0,top
C7,111.252,-69.85,90.0,top
D1,97.409,-74.93,180.0,top
IC1,106.299,-61.214,270.0,top
J1,106.406,-82.293,0.0,top
J2,98.425,-54.864,90.0,top
J3,111.76,-54.864,90.0,top
J4,115.57,-81.661,0.0,top
J5,95.885,-81.661,0.0,top
LED1,114.935,-59.436,270.0,top
R1,99.679,-60.071,180.0,top
R2,111.506,-60.325,180.0,top
R3,99.552,-62.484,180.0,top
R4,114.935,-63.373,270.0,top
R8,98.171,-66.548,0.0,top
R9,98.822,-70.866,180.0,top
U1,106.045,-69.088,90.0,top
