ADC	TEMPO	COUNT
0	30	2604
1	31	2520
2	32	2441
3	32	2441
4	33	2367
5	34	2298
6	35	2232
7	36	2170
8	37	2111
9	37	2111
10	38	2056
11	39	2003
12	40	1953
13	41	1905
14	41	1905
15	42	1860
16	43	1817
17	44	1776
18	45	1736
19	46	1698
20	46	1698
21	47	1662
22	48	1628
23	49	1594
24	50	1563
25	51	1532
26	51	1532
27	52	1502
28	53	1474
29	54	1447
30	55	1420
31	56	1395
32	56	1395
33	57	1371
34	58	1347
35	59	1324
36	60	1302
37	60	1302
38	61	1281
39	62	1260
40	63	1240
41	64	1221
42	65	1202
43	65	1202
44	66	1184
45	67	1166
46	68	1149
47	69	1132
48	70	1116
49	70	1116
50	71	1100
51	72	1085
52	73	1070
53	74	1056
54	75	1042
55	75	1042
56	76	1028
57	77	1015
58	78	1002
59	79	989
60	79	989
61	80	977
62	81	965
63	82	953
64	83	941
65	84	930
66	84	930
67	85	919
68	86	908
69	87	898
70	88	888
71	89	878
72	89	878
73	90	868
74	91	859
75	92	849
76	93	840
77	94	831
78	94	831
79	95	822
80	96	814
81	97	805
82	98	797
83	99	789
84	99	789
85	100	781
86	101	774
87	102	766
88	103	758
89	103	758
90	104	751
91	105	744
92	106	737
93	107	730
94	108	723
95	108	723
96	109	717
97	110	710
98	111	704
99	112	698
100	113	691
101	113	691
102	114	685
103	115	679
104	116	673
105	117	668
106	118	662
107	118	662
108	119	657
109	120	651
110	121	646
111	122	640
112	122	640
113	123	635
114	124	630
115	125	625
116	126	620
117	127	615
118	127	615
119	128	610
120	129	606
121	130	601
122	131	596
123	132	592
124	132	592
125	133	587
126	134	583
127	135	579
128	136	574
129	137	570
130	137	570
131	138	566
132	139	562
133	140	558
134	141	554
135	141	554
136	142	550
137	143	546
138	144	539
139	145	535
140	146	533
141	146	533
142	147	531
143	148	528
144	149	524
145	150	521
146	151	517
147	151	517
148	152	514
149	153	511
150	154	507
151	155	504
152	156	501
153	156	501
154	157	498
155	158	494
156	159	491
157	160	488
158	160	488
159	161	485
160	162	482
161	163	479
162	164	476
163	165	473
164	165	473
165	166	471
166	167	468
167	168	465
168	169	462
169	170	460
170	170	460
171	171	457
172	172	454
173	173	452
174	174	449
175	175	446
176	175	446
177	176	444
178	177	441
179	178	439
180	179	436
181	179	436
182	180	434
183	181	432
184	182	429
185	183	427
186	184	425
187	184	425
188	185	422
189	186	420
190	187	418
191	188	416
192	189	413
193	189	413
194	190	411
195	191	409
196	192	407
197	193	405
198	194	403
199	194	403
200	195	401
201	196	399
202	197	397
203	198	395
204	199	393
205	199	393
206	200	391
207	201	389
208	202	387
209	203	385
210	203	385
211	204	383
212	205	381
213	206	379
214	207	377
215	208	376
216	208	376
217	209	374
218	210	372
219	211	370
220	212	369
221	213	367
222	213	367
223	214	365
224	215	363
225	216	362
226	217	360
227	218	358
228	218	358
229	219	357
230	220	355
231	221	354
232	222	352
233	222	352
234	223	350
235	224	349
236	225	347
237	226	346
238	227	344
239	227	344
240	228	343
241	229	341
242	230	340
243	231	338
244	232	337
245	232	337
246	233	335
247	234	334
248	235	332
249	236	331
250	237	330
251	237	330
252	238	328
253	239	327
254	240	326
255	240	326
