"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AnPw1","1","AnalogPower","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"C1","1","0.068uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C2","1","100pF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C3,C4","2","0.47uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C5,C21","2","0.01uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C6,C9,C10,C11","4","1uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C7,C12,C27,C28","4","0.047uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C8","1","51pF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C13","1","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C14","1","470pF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C15,C18,C19","3","10uF/16V","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C16,C17,C20","3","0.1uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C22","1","0.018uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C23","1","0.22uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C24","1","47Pf","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C25","1","0.015uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C26","1","1uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C29","1","2200pF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C30,C31,C32","3","4.7uF/16V","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10","10","D","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"J1,J3,J5,J7,J9,J11","6","input","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J2,J4,J6,J8,J10,J12","6","output","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"Q1,Q2,Q3,Q4,Q5,Q7","6","2SK30ATM-GR","","","","Package_TO_SOT_THT:TO-92_HandSolder","https://www.tme.com/Document/45d943f10ed9aea181b6891d1cca0ac1/2SK30A.pdf"
"Q6","1","2SA1015","","","","Package_TO_SOT_THT:TO-92_HandSolder","http://www.datasheetcatalog.org/datasheet/toshiba/905.pdf"
"R1","1","47K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R2,R3,R10,R14,R15,R16,R23,R29,R37,R38,R40","11","100K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R4,R8,R25","3","4.7K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R5,R24,R27","3","2.2K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R6","1","0","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R7,R20,R21,R28","4","10K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R9","1","51K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R11","1","475K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R12","1","499","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R13","1","221","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R17,R30","2","1M","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R18,R22,R26","3","1K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R19,R32,R33,R35","4","470K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R31","1","82K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R34","1","2.4K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R36","1","390K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R39","1","1.5K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"U1,U2,U3,U4","4","Opamp_Dual","","","","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","~"
"VR1,VR7","2","100KB","","","","SamacSys_parts:3362P_1","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000139931.pdf"
"VR2","1","2KB","","","","SamacSys_parts:3362P_1","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000139931.pdf"
"VR3","1","5KB","","","","SamacSys_parts:3362P_1","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000139931.pdf"
"VR4","1","200KB","","","","SamacSys_parts:3362P_1","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000139931.pdf"
"VR5","1","500KB","","","","SamacSys_parts:3362P_1","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000139931.pdf"
"VR6","1","10KB","","","","SamacSys_parts:3362P_1","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000139931.pdf"
